Jogador,ID_Jogador,Numero,Idade,Nacionalidade,No_plantel,Jogos,Gols,Assistencias,Cartoes_amarelos,Expulsoes_dois_amarelos,Expulsoes_vermelho_direto,Suplente_utilizado,Substituicoes,Pontos_por_jogo,Minutos_jogados,Identifier,Camp,Ano,Time
Bruninho,668234,17,19,,30,16,2,1,-,-,-,7,8,"1,38",714',BRA1_2023,BRA1,2023,RB Bragantino
Gustavo Neves,1084081,22,18,,38,19,1,-,2,-,-,15,3,"1,58",653',BRA1_2023,BRA1,2023,RB Bragantino
Matheus Fernandes,351892,35,24,,35,33,1,3,8,-,-,2,18,"1,82",2.347',BRA1_2023,BRA1,2023,RB Bragantino
Raul,479587,23,25,,14,3,-,-,1,-,-,2,1,"2,33",106',BRA1_2023,BRA1,2023,RB Bragantino
Yani Quintero,655335,14,19,,11,3,-,-,1,-,-,2,1,"2,33",99',BRA1_2023,BRA1,2023,RB Bragantino
Caetano,843499,47,20,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,RB Bragantino
Nathan Camargo,1015962,48,16,,5,1,-,-,-,-,-,1,-,"3,00",11',BRA1_2023,BRA1,2023,RB Bragantino
Marcelinho Braz,1084073,50,17,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,RB Bragantino
Artur,440658,10,24,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,RB Bragantino
Helinho,412365,11,22,,26,24,3,2,8,-,-,4,20,"1,50",1.400',BRA1_2023,BRA1,2023,RB Bragantino
Vitinho,670965,28,23,,33,33,2,2,8,-,-,10,14,"1,64",2.054',BRA1_2023,BRA1,2023,RB Bragantino
Thiago Borbas,743951,18,20,,35,33,9,2,7,-,1,23,6,"1,58",1.414',BRA1_2023,BRA1,2023,RB Bragantino
Matheus Gonçalves,961046,-,16,,19,12,-,1,3,-,-,8,3,"1,67",455',BRA1_2023,BRA1,2023,RB Bragantino
Alerrandro,371996,9,22,,24,14,1,-,3,-,1,12,2,"1,43",398',BRA1_2023,BRA1,2023,RB Bragantino
Sorriso,868101,27,21,,37,23,2,1,2,-,-,15,5,"1,65",930',BRA1_2023,BRA1,2023,RB Bragantino
Henry Mosquera,975191,16,20,,22,21,2,2,1,-,-,11,8,"1,38",1.059',BRA1_2023,BRA1,2023,RB Bragantino
Eduardo Sasha,162883,19,30,,33,33,11,3,3,-,-,2,24,"1,64",2.248',BRA1_2023,BRA1,2023,RB Bragantino
Ignacio Laquintana,577407,33,23,,15,4,-,-,-,-,-,3,1,"2,00",183',BRA1_2023,BRA1,2023,RB Bragantino
Talisson,1084074,21,20,,20,7,3,-,-,-,-,6,1,"2,14",145',BRA1_2023,BRA1,2023,RB Bragantino
Welliton,697848,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,RB Bragantino
Werik Popó,902507,-,20,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,RB Bragantino
Kawê,791721,39,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,RB Bragantino
Everton,839034,43,20,,8,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,RB Bragantino
Carlos Miguel,641458,22,22,,21,2,-,-,-,-,-,-,-,"3,00",180',BRA1_2022,BRA1,2022,SC Corinthians
Matheus Donelli,708723,32,19,,17,3,-,-,-,-,-,1,-,"0,33",181',BRA1_2022,BRA1,2022,SC Corinthians
Ivan,364257,1,23,,7,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Corinthians
Cássio,50144,12,34,,34,34,-,-,2,-,-,-,1,"1,74",3.060',BRA1_2022,BRA1,2022,SC Corinthians
Lucas Piton,670201,6,20,,35,28,1,3,2,-,-,8,6,"1,75",1.768',BRA1_2022,BRA1,2022,SC Corinthians
Robert Renan,958598,30,17,,24,10,-,-,2,-,-,-,-,"1,50",900',BRA1_2022,BRA1,2022,SC Corinthians
João Victor,671145,33,22,,7,7,-,-,2,-,-,2,-,"2,00",480',BRA1_2022,BRA1,2022,SC Corinthians
Bruno Méndez,552912,25,21,,24,18,-,1,1,-,1,5,5,"1,44",1.135',BRA1_2022,BRA1,2022,SC Corinthians
João Pedro,342024,-,24,,8,2,-,-,1,-,-,1,-,"3,00",112',BRA1_2022,BRA1,2022,SC Corinthians
Robson Bambu,458715,3,23,,23,7,-,-,-,-,-,3,1,"1,29",391',BRA1_2022,BRA1,2022,SC Corinthians
Fabián Balbuena,285548,-,29,,16,13,3,-,2,-,-,-,2,"1,92",1.080',BRA1_2022,BRA1,2022,SC Corinthians
Raul Gustavo,792345,34,22,,28,20,2,1,3,-,-,2,-,"1,70",1.683',BRA1_2022,BRA1,2022,SC Corinthians
Léo Mana,838387,16,17,,3,1,-,-,-,-,-,-,1,"0,00",45',BRA1_2022,BRA1,2022,SC Corinthians
Lucas Belezi,668230,13,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Corinthians
Rafael Ramos,290388,2,26,,26,20,-,1,3,-,-,5,9,"1,85",1.308',BRA1_2022,BRA1,2022,SC Corinthians
Bruno Melo,538230,27,28,,30,7,-,-,1,-,-,2,2,"1,57",440',BRA1_2022,BRA1,2022,SC Corinthians
Fagner,47592,23,32,,24,17,-,2,3,-,-,8,3,"1,88",900',BRA1_2022,BRA1,2022,SC Corinthians
Gil,101469,4,34,,33,25,-,1,4,-,-,2,3,"1,80",2.048',BRA1_2022,BRA1,2022,SC Corinthians
Reginaldo,739487,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Corinthians
Fábio Santos,13835,26,35,,34,22,3,-,4,-,-,5,5,"1,73",1.568',BRA1_2022,BRA1,2022,SC Corinthians
Breno Bidon,1029227,-,16,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Corinthians
Fausto Vera,491701,-,21,,18,18,-,-,5,-,-,2,6,"1,61",1.305',BRA1_2022,BRA1,2022,SC Corinthians
Maycon,421935,-,23,,16,16,-,-,4,-,-,6,9,"2,13",793',BRA1_2022,BRA1,2022,SC Corinthians
Mateus Vital,408958,-,23,,16,16,-,2,1,-,-,9,4,"1,63",739',BRA1_2022,BRA1,2022,SC Corinthians
Matheus Araújo,678853,20,19,,8,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Corinthians
Du Queiroz,906774,37,21,,36,36,2,2,4,-,-,8,9,"1,78",2.604',BRA1_2022,BRA1,2022,SC Corinthians
Roni,725049,29,22,,31,19,-,1,5,-,1,13,6,"1,74",748',BRA1_2022,BRA1,2022,SC Corinthians
Gabriel,213606,5,28,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Corinthians
Giuliano,54375,11,31,,36,32,1,2,2,-,-,14,14,"1,75",1.653',BRA1_2022,BRA1,2022,SC Corinthians
Víctor Cantillo,263032,24,27,,31,19,-,-,1,-,-,9,7,"1,63",914',BRA1_2022,BRA1,2022,SC Corinthians
Ramiro,258070,-,28,,17,12,-,1,3,-,-,6,7,"1,75",553',BRA1_2022,BRA1,2022,SC Corinthians
Renato Augusto,53058,8,33,,29,25,1,2,-,-,-,9,13,"1,60",1.406',BRA1_2022,BRA1,2022,SC Corinthians
Luan,313106,7,28,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Corinthians
Xavier,596426,39,21,,20,5,-,-,1,-,-,3,1,"1,20",160',BRA1_2022,BRA1,2022,SC Corinthians
Paulinho,57229,15,32,,4,3,1,-,-,-,-,-,2,"2,00",165',BRA1_2022,BRA1,2022,SC Corinthians
Giuliano,12863,22,43,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Corinthians
Yuri Alberto,489893,-,20,,20,20,8,1,2,1,-,5,2,"1,80",1.455',BRA1_2022,BRA1,2022,SC Corinthians
Róger Guedes,348263,9,24,,37,36,10,2,6,-,-,3,21,"1,75",2.562',BRA1_2022,BRA1,2022,SC Corinthians
Gabriel Pereira,736954,38,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Corinthians
Wesley,1007378,47,16,,9,2,-,-,-,-,-,2,-,"0,50",8',BRA1_2022,BRA1,2022,SC Corinthians
Adson,868891,28,20,,28,25,3,-,2,-,-,12,10,"1,68",1.236',BRA1_2022,BRA1,2022,SC Corinthians
Giovane,1005165,42,17,,26,10,-,-,2,-,-,8,1,"1,60",293',BRA1_2022,BRA1,2022,SC Corinthians
Biro,743590,14,17,,6,2,-,-,1,-,-,1,1,"0,50",108',BRA1_2022,BRA1,2022,SC Corinthians
Gustavo Mantuan,814269,31,20,,15,14,3,1,-,-,-,4,6,"1,79",865',BRA1_2022,BRA1,2022,SC Corinthians
Felipe Augusto,834899,41,17,,10,3,-,-,-,-,-,2,1,"2,33",67',BRA1_2022,BRA1,2022,SC Corinthians
Gustavo Silva,636314,19,23,,28,22,3,3,1,-,-,9,10,"1,77",1.135',BRA1_2022,BRA1,2022,SC Corinthians
Willian,52769,10,32,,14,14,-,2,1,-,-,4,9,"2,07",832',BRA1_2022,BRA1,2022,SC Corinthians
Arthur Sousa,1005640,-,18,,1,1,-,-,-,-,-,1,-,"3,00",4',BRA1_2022,BRA1,2022,SC Corinthians
Léo Natel,351750,-,24,,1,1,-,-,-,-,-,1,-,"0,00",26',BRA1_2022,BRA1,2022,SC Corinthians
Jô,34156,77,34,,6,4,1,-,1,-,-,3,-,"1,25",192',BRA1_2022,BRA1,2022,SC Corinthians
Júnior Moraes,52915,18,34,,13,9,-,-,1,-,-,4,5,"1,33",403',BRA1_2022,BRA1,2022,SC Corinthians
Carlos Miguel,641458,22,23,,38,2,-,-,-,-,-,1,-,"3,00",109',BRA1_2023,BRA1,2023,SC Corinthians
Matheus Donelli,708723,32,20,,8,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Corinthians
Cássio,50144,-,35,,37,37,-,-,1,-,-,-,1,"1,27",3.311',BRA1_2023,BRA1,2023,SC Corinthians
Kauê,1005653,1,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Corinthians
Murillo,1005649,34,19,,17,13,-,-,3,-,-,-,1,"1,08",1.166',BRA1_2023,BRA1,2023,SC Corinthians
Lucas Veríssimo,411662,3,26,,17,15,1,2,4,-,1,-,1,"1,53",1.305',BRA1_2023,BRA1,2023,SC Corinthians
Bruno Méndez,552912,25,22,,33,27,-,-,5,-,1,7,7,"1,44",1.649',BRA1_2023,BRA1,2023,SC Corinthians
Fabián Balbuena,285548,31,30,,4,1,-,-,-,-,-,-,1,"0,00",90',BRA1_2023,BRA1,2023,SC Corinthians
Matheus Bidu,670021,21,23,,38,24,-,-,2,-,-,5,8,"1,42",1.660',BRA1_2023,BRA1,2023,SC Corinthians
Caetano,625345,14,23,,34,16,-,-,3,-,-,3,1,"1,44",1.202',BRA1_2023,BRA1,2023,SC Corinthians
Léo Mana,838387,13,18,,8,3,-,-,1,-,-,1,2,"0,67",134',BRA1_2023,BRA1,2023,SC Corinthians
Rafael Ramos,290388,2,27,,19,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Corinthians
Tchoca,1005650,47,18,,5,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Corinthians
Fagner,47592,23,33,,30,30,-,1,10,-,-,8,3,"1,53",2.093',BRA1_2023,BRA1,2023,SC Corinthians
Gil,101469,4,35,,34,32,2,2,10,-,-,-,-,"1,28",2.880',BRA1_2023,BRA1,2023,SC Corinthians
Fábio Santos,13835,6,36,,32,25,4,1,7,-,-,5,8,"1,36",1.678',BRA1_2023,BRA1,2023,SC Corinthians
Renato Santos,743831,46,17,,4,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Corinthians
Vitor Meer,970339,16,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Corinthians
Gabriel Moscardo,1086636,44,16,,20,18,1,1,6,-,-,3,12,"1,61",1.141',BRA1_2023,BRA1,2023,SC Corinthians
Breno Bidon,1029227,35,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Corinthians
Fausto Vera,491701,5,22,,27,21,1,2,6,-,-,4,12,"1,33",1.390',BRA1_2023,BRA1,2023,SC Corinthians
Matías Rojas,417327,-,26,,17,15,-,1,1,-,-,8,6,"1,40",633',BRA1_2023,BRA1,2023,SC Corinthians
Maycon,421935,7,24,,34,32,2,3,4,-,1,5,12,"1,28",2.410',BRA1_2023,BRA1,2023,SC Corinthians
Matheus Araújo,678853,30,20,,30,16,1,2,-,-,-,13,2,"1,38",575',BRA1_2023,BRA1,2023,SC Corinthians
Du Queiroz,906774,37,22,,3,3,-,-,1,-,-,1,1,"1,00",177',BRA1_2023,BRA1,2023,SC Corinthians
Ryan,1005642,49,18,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Corinthians
Roni,725049,29,23,,28,15,-,-,2,-,-,8,2,"1,27",670',BRA1_2023,BRA1,2023,SC Corinthians
Giuliano,54375,20,32,,36,30,2,1,2,-,-,11,14,"1,27",1.647',BRA1_2023,BRA1,2023,SC Corinthians
Víctor Cantillo,263032,24,28,,16,6,-,-,-,-,-,4,1,"1,67",264',BRA1_2023,BRA1,2023,SC Corinthians
Renato Augusto,53058,8,34,,24,24,2,4,1,-,-,8,14,"1,54",1.285',BRA1_2023,BRA1,2023,SC Corinthians
Ruan Oliveira,798106,33,22,,26,19,2,1,3,-,-,8,10,"1,58",887',BRA1_2023,BRA1,2023,SC Corinthians
Pedrinho,1005645,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Corinthians
Paulinho,57229,15,33,,6,4,-,-,-,-,-,3,-,"0,25",148',BRA1_2023,BRA1,2023,SC Corinthians
Adryan,1099256,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Corinthians
Yuri Alberto,489893,9,21,,35,34,8,4,6,-,-,2,15,"1,35",2.734',BRA1_2023,BRA1,2023,SC Corinthians
Róger Guedes,348263,10,25,,15,15,8,1,3,-,-,-,1,"1,20",1.350',BRA1_2023,BRA1,2023,SC Corinthians
Pedro,1004741,27,16,,28,15,1,-,1,-,-,8,7,"0,60",617',BRA1_2023,BRA1,2023,SC Corinthians
Wesley,1007378,36,17,,31,24,1,2,2,-,-,17,7,"1,25",854',BRA1_2023,BRA1,2023,SC Corinthians
Adson,868891,28,21,,17,15,-,1,-,-,-,6,8,"1,53",861',BRA1_2023,BRA1,2023,SC Corinthians
Giovane,1005165,17,18,,10,5,1,-,-,-,-,4,1,"1,40",129',BRA1_2023,BRA1,2023,SC Corinthians
Biro,743590,26,18,,21,11,-,-,2,-,-,4,7,"1,27",576',BRA1_2023,BRA1,2023,SC Corinthians
Felipe Augusto,834899,41,18,,32,15,-,-,-,-,-,13,2,"1,13",314',BRA1_2023,BRA1,2023,SC Corinthians
Gustavo Silva,636314,19,24,,12,11,1,-,2,-,-,10,1,"1,09",298',BRA1_2023,BRA1,2023,SC Corinthians
Chrystian Barletta,695232,77,20,,9,3,-,-,-,-,-,1,2,"1,00",127',BRA1_2023,BRA1,2023,SC Corinthians
Ángel Romero,262262,11,29,,32,22,8,1,2,-,-,9,11,"1,23",1.199',BRA1_2023,BRA1,2023,SC Corinthians
Arthur Sousa,1005640,38,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Corinthians
Kayke,1082700,43,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Corinthians
Júnior Moraes,52915,18,35,,2,1,-,-,-,-,-,1,-,"0,00",1',BRA1_2023,BRA1,2023,SC Corinthians
Keiller,417084,12,24,,38,15,-,-,2,-,-,-,-,"2,07",1.350',BRA1_2022,BRA1,2022,SC Internacional
Anthoni,869437,-,19,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Daniel,530421,1,27,,28,23,-,-,4,-,-,-,-,"1,83",2.070',BRA1_2022,BRA1,2022,SC Internacional
Emerson Junior,813038,52,21,,13,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Vitão,428783,44,21,,35,31,2,-,1,-,-,-,2,"1,97",2.789',BRA1_2022,BRA1,2022,SC Internacional
Fabricio Bustos,275381,16,25,,31,31,2,3,3,-,-,-,6,"2,03",2.679',BRA1_2022,BRA1,2022,SC Internacional
Moisés,368468,20,26,,13,8,2,1,5,-,-,1,3,"1,38",591',BRA1_2022,BRA1,2022,SC Internacional
Bruno Méndez,552912,22,21,,9,6,1,-,1,-,-,2,1,"1,17",436',BRA1_2022,BRA1,2022,SC Internacional
Kaique Rocha,633377,3,20,,30,7,-,-,2,-,-,2,1,"1,14",451',BRA1_2022,BRA1,2022,SC Internacional
Igor Gomes,689640,-,20,,10,3,-,-,-,-,-,1,2,"2,33",113',BRA1_2022,BRA1,2022,SC Internacional
Paulo Victor,875511,-,20,,9,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Renê,212209,6,28,,28,28,-,1,-,-,-,1,-,"2,14",2.475',BRA1_2022,BRA1,2022,SC Internacional
Heitor,670969,2,20,,18,5,-,-,2,-,-,1,2,"1,80",396',BRA1_2022,BRA1,2022,SC Internacional
Thauan Lara,749557,36,17,,24,7,-,-,2,-,-,3,2,"1,29",343',BRA1_2022,BRA1,2022,SC Internacional
Roberto,641457,-,23,,2,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Victor Cuesta,104326,15,32,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Rodrigo Moledo,119434,4,33,,25,20,-,-,3,-,-,6,2,"2,20",1.215',BRA1_2022,BRA1,2022,SC Internacional
Gabriel Mercado,45319,25,34,,31,26,-,-,7,1,-,3,3,"1,96",2.129',BRA1_2022,BRA1,2022,SC Internacional
Weverton,580572,-,22,,14,1,-,-,-,-,-,1,-,"3,00",45',BRA1_2022,BRA1,2022,SC Internacional
Tiago Barbosa,432158,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Lucas Mazetti,815675,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Johnny Cardoso,689505,30,19,,32,24,3,2,5,-,-,7,14,"2,21",1.419',BRA1_2022,BRA1,2022,SC Internacional
Mauricio,678439,27,20,,35,32,6,5,2,-,-,13,19,"2,00",1.573',BRA1_2022,BRA1,2022,SC Internacional
Bruno Gomes,703322,32,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Rodrigo Dourado,181780,13,27,,11,8,-,-,2,-,-,3,2,"2,00",449',BRA1_2022,BRA1,2022,SC Internacional
Alan Patrick,104505,-,30,,26,26,6,4,3,-,-,6,19,"1,96",1.589',BRA1_2022,BRA1,2022,SC Internacional
Matheus Dias,815384,41,19,,8,2,-,-,-,-,-,1,1,"3,00",108',BRA1_2022,BRA1,2022,SC Internacional
Liziero,401526,5,23,,25,14,-,-,3,-,-,9,3,"2,00",498',BRA1_2022,BRA1,2022,SC Internacional
Gabriel,213606,23,28,,29,26,-,-,2,-,-,2,1,"1,96",2.142',BRA1_2022,BRA1,2022,SC Internacional
Edenilson,169052,8,31,,31,31,6,3,2,-,-,7,10,"1,74",2.187',BRA1_2022,BRA1,2022,SC Internacional
Gabriel Boschilia,288496,21,25,,8,4,-,1,1,-,-,4,-,"2,25",52',BRA1_2022,BRA1,2022,SC Internacional
Gustavo,982553,-,19,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Lucas Ramos,689507,37,20,,26,9,-,-,1,-,-,9,-,"1,67",71',BRA1_2022,BRA1,2022,SC Internacional
Rodrigo Lindoso,186922,19,32,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Estêvão,982552,26,19,,30,8,-,-,-,-,-,8,-,"1,75",100',BRA1_2022,BRA1,2022,SC Internacional
Andrés D'Alessandro,3445,10,40,,1,1,1,-,1,-,-,-,1,"3,00",72',BRA1_2022,BRA1,2022,SC Internacional
Yuri Alberto,489893,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Wanderson,236202,11,26,,26,26,6,3,3,-,-,5,20,"2,04",1.619',BRA1_2022,BRA1,2022,SC Internacional
Caio Vidal,815686,47,20,,11,7,-,-,1,-,-,6,-,"1,71",151',BRA1_2022,BRA1,2022,SC Internacional
Carlos Palacios,571219,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Alemão,560417,35,23,,35,34,8,5,3,-,-,12,20,"1,91",2.015',BRA1_2022,BRA1,2022,SC Internacional
David,373189,17,25,,32,21,-,2,2,-,1,11,10,"1,57",819',BRA1_2022,BRA1,2022,SC Internacional
Carlos de Pena,257740,14,29,,34,34,5,6,6,-,-,4,12,"1,91",2.641',BRA1_2022,BRA1,2022,SC Internacional
Wesley Moraes,381362,9,24,,12,8,-,-,1,-,-,4,4,"1,63",299',BRA1_2022,BRA1,2022,SC Internacional
Braian Romero,357937,-,30,,19,17,2,-,1,-,-,15,2,"2,18",333',BRA1_2022,BRA1,2022,SC Internacional
Pedro Henrique,213368,28,31,,32,32,7,3,6,-,-,16,14,"1,88",1.604',BRA1_2022,BRA1,2022,SC Internacional
Taison,76028,7,33,,25,20,1,1,6,-,-,15,4,"2,05",730',BRA1_2022,BRA1,2022,SC Internacional
Gustavo Maia,752560,77,20,,8,1,-,-,-,-,-,1,-,"3,00",14',BRA1_2022,BRA1,2022,SC Internacional
Matheus Cadorini,868060,18,18,,10,3,-,-,-,-,1,2,1,"0,67",86',BRA1_2022,BRA1,2022,SC Internacional
Mikael,642689,-,22,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
Nicolas,723796,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,SC Internacional
John Victor,432914,31,26,,17,9,-,-,1,-,-,-,-,"2,00",810',BRA1_2023,BRA1,2023,SC Internacional
Sergio Rochet,264014,33,29,,19,19,-,-,4,-,-,-,-,"1,53",1.710',BRA1_2023,BRA1,2023,SC Internacional
Keiller,417084,1,25,,35,10,-,-,1,-,-,-,-,"0,80",900',BRA1_2023,BRA1,2023,SC Internacional
Anthoni,869437,24,20,,7,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Internacional
Emerson Junior,813038,12,22,,9,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Internacional
Vitão,428783,44,22,,28,26,-,-,5,-,1,1,5,"1,31",2.045',BRA1_2023,BRA1,2023,SC Internacional
Fabricio Bustos,275381,16,26,,33,29,3,3,4,-,-,1,4,"1,48",2.503',BRA1_2023,BRA1,2023,SC Internacional
Mário Fernandes,102740,-,31,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Internacional
Hugo Mallo,119905,2,31,,6,6,-,-,1,-,1,3,1,"0,83",324',BRA1_2023,BRA1,2023,SC Internacional
Igor Gomes,689640,21,21,,37,24,-,-,4,-,-,10,2,"1,71",1.456',BRA1_2023,BRA1,2023,SC Internacional
Renê,212209,6,29,,30,28,1,1,5,-,-,4,2,"1,75",2.283',BRA1_2023,BRA1,2023,SC Internacional
Dalbert,312862,29,28,,13,9,-,-,1,-,-,2,5,"0,89",501',BRA1_2023,BRA1,2023,SC Internacional
Nicolás Hernández,643750,22,24,,33,23,-,2,6,-,-,11,2,"1,35",1.288',BRA1_2023,BRA1,2023,SC Internacional
Thauan Lara,749557,36,18,,29,10,-,-,1,-,-,7,1,"1,60",331',BRA1_2023,BRA1,2023,SC Internacional
Felipe Motta,1083638,43,18,,3,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Internacional
Rangel,980767,47,18,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Internacional
João Dalla Corte,1004735,50,16,,7,1,-,-,-,-,-,1,-,"0,00",19',BRA1_2023,BRA1,2023,SC Internacional
Rodrigo Moledo,119434,4,34,,11,7,-,-,3,-,-,2,1,"1,43",478',BRA1_2023,BRA1,2023,SC Internacional
Gabriel Mercado,45319,25,35,,29,26,-,-,11,1,-,1,2,"1,62",2.181',BRA1_2023,BRA1,2023,SC Internacional
Johnny Cardoso,689505,30,20,,25,22,2,2,7,-,-,2,11,"1,91",1.614',BRA1_2023,BRA1,2023,SC Internacional
Mauricio,678439,27,21,,27,26,6,6,4,-,-,4,17,"1,46",1.778',BRA1_2023,BRA1,2023,SC Internacional
Rômulo,687359,40,22,,31,20,1,-,2,-,-,8,6,"1,60",1.218',BRA1_2023,BRA1,2023,SC Internacional
Alan Patrick,104505,10,31,,35,34,4,5,6,-,-,6,13,"1,44",2.460',BRA1_2023,BRA1,2023,SC Internacional
Matheus Dias,815384,41,20,,24,14,-,-,5,-,-,8,7,"1,21",401',BRA1_2023,BRA1,2023,SC Internacional
Gabriel,213606,23,29,,23,15,-,-,2,-,-,6,3,"1,33",761',BRA1_2023,BRA1,2023,SC Internacional
Baralhas,552242,-,23,,12,5,-,-,-,-,-,3,1,"0,80",235',BRA1_2023,BRA1,2023,SC Internacional
Charles Aránguiz,89701,20,33,,23,22,-,1,3,-,-,6,15,"1,32",1.273',BRA1_2023,BRA1,2023,SC Internacional
Campanharo,103674,17,30,,29,15,-,1,6,-,-,7,7,"1,80",697',BRA1_2023,BRA1,2023,SC Internacional
Bruno Henrique,277335,8,32,,21,20,2,-,3,-,-,10,7,"1,45",1.049',BRA1_2023,BRA1,2023,SC Internacional
Lucas Ramos,689507,15,21,,7,1,-,-,-,-,-,1,-,"3,00",1',BRA1_2023,BRA1,2023,SC Internacional
Estêvão,982552,26,20,,9,1,-,-,-,-,-,1,-,"0,00",10',BRA1_2023,BRA1,2023,SC Internacional
Allison,982551,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,SC Internacional
Wanderson,236202,11,27,,34,32,7,2,3,-,-,6,17,"1,41",2.350',BRA1_2023,BRA1,2023,SC Internacional
